microscope,sample,i_layer,i_sio2,contrast_percent,calculated_layer,rounded_layer,is_reference
Zeiss,53,0.4154,0.4505,7.791342952,1.0,1,1
Zeiss,53,0.3759,0.4452,15.56603774,1.997863248,2,0
Zeiss,53,0.3307,0.4501,26.52743835,3.404732472,3,0
Zeiss,52,0.4227,0.5136,17.69859813,2.27157221,2,0
Zeiss,64,0.2187,0.3402,35.71428571,4.583842084,5,0
Zeiss,64,0.2619,0.3245,19.29121726,2.475981018,2,0
Zeiss,61,0.502,0.5564,9.777138749,1.254872082,1,0
Zeiss,61,0.3837,0.5525,30.5520362,3.92127986,4,0
Zeiss,61,0.3515,0.5994,41.35802469,5.308202315,5,0
Zeiss,61,0.2309,0.5714,59.59047952,7.64829374,8,0
Zeiss,61,0.263,0.564,53.36879433,6.849755511,7,0
Zeiss,61,0.3736,0.5595,33.22609473,4.264488796,4,0
Zeiss,61,0.2299,0.5724,59.83577918,7.679777356,8,0
Zeiss,65,0.3411,0.3685,7.435549525,0.9543347753,1,0
Zeiss,71,0.5886,0.6629,11.20832705,1.438561634,1,0
Zeiss,73,0.3902,0.5442,28.2984197,3.63203364,4,0
Zeiss,73,0.4228,0.5544,23.73737374,3.046634436,3,0
Zeiss,73,0.4249,0.5515,22.9555757,2.946292551,3,0
Zeiss,74,0.5518,0.5912,6.664411367,0.8553610601,1,0
Zeiss,91,0.2461,0.4415,44.25821065,5.680434159,6,0
Zeiss,91,0.3446,0.4309,20.02784869,2.570525879,3,0
Zeiss,91,0.2529,0.4184,39.55544933,5.076846132,5,0
Zeiss,101,0.4539,0.5598,18.91747053,2.42801153,2,0
Zeiss,101,0.5017,0.5599,10.39471334,1.334136285,1,0
Zeiss,101,0.4626,0.5759,19.67355444,2.52505307,3,0
Zeiss,101,0.4619,0.5953,22.40886948,2.876124131,3,0
Zeiss,101,0.5043,0.5673,11.10523533,1.425330061,1,0
Zeiss,102,0.3606,0.4465,19.23852184,2.469217689,2,0
Zeiss,102,0.3361,0.4386,23.36981304,2.99945891,3,0
Zeiss,102,0.2894,0.4388,34.04740201,4.369901597,4,0
Zeiss,102,0.3112,0.4507,30.95185267,3.972595336,4,0
Zeiss,102,0.2534,0.4472,43.33631485,5.562111065,6,0
Zeiss,103,0.3954,0.4586,13.78107283,1.768767325,2,0
Zeiss,103,0.3756,0.4461,15.80363147,2.028357829,2,0
Zeiss,103,0.4195,0.4504,6.860568384,0.8805373382,1,0
Zeiss,103,0.3946,0.4573,13.71091187,1.759762336,2,0
Zeiss,103,0.2843,0.4392,35.26867031,4.526648426,5,0
Zeiss,103,0.2853,0.4381,34.87788176,4.476491662,4,0
Zeiss,131,0.2903,0.3329,12.79663563,1.642417194,2,0
Zeiss,131,0.1785,0.3331,46.41248874,5.956930535,6,0
Zeiss,131,0.2067,0.3433,39.7902709,5.106984912,5,0
Zeiss,141,0.2077,0.3218,35.45680547,4.550795118,5,0
Zeiss,151,0.2197,0.321,31.5576324,4.050345697,4,0
Zeiss,151,0.278,0.3212,13.44956413,1.726218987,2,0
